1.6 1 1.95 4.00 0.70 
1.6 2 1.95 5.00 0.70 
1.6 3 1.95 6.00 0.90 
2 1 2.50 5.00 0.90 
2 2 2.50 6.00 0.90 
2 3 2.50 8.00 0.90 
2.5 1 3.00 6.00 0.90 
2.5 2 3.00 8.00 0.90 
2.5 3 3.00 10.00 1.20 
3 1 3.50 7.00 0.90 
3 2 3.50 10.00 1.20 
3 3 3.50 12.00 1.40 
3.5 1 4.00 9.00 1.20 
3.5 2 4.00 10.00 1.40 
3.5 3 4.00 15.00 1.75 
4 1 4.70 10.00 1.20 
4 2 4.70 12.00 1.40 
4 3 4.70 16.00 2.30 
5 1 5.50 11.00 1.40 
5 2 5.50 15.00 1.75 
5 3 5.50 20.00 2.30 
6 1 6.65 13.00 1.75 
6 2 6.65 18.80 1.75 
6 3 6.65 25.40 2.30 
8 1 8.90 18.80 2.30
8 2 8.90 25.40 2.30
8 3 8.90 32.00 2.80
10 1 10.85 20.00 2.30
10 2 10.85 28.00 2.80
10 3 10.85 39.00 3.50
12 1 13.30 25.40 2.80
12 2 13.30 34.00 3.50
12 3 13.30 44.00 3.50
14 1 15.25 28.00 2.80
14 2 15.25 39.00 3.50
14 3 15.25 50.00 4.00
16 1 17.25 32.00 3.50
16 2 17.25 44.00 4.00
16 3 17.25 56.00 4.60
20 1 21.80 39.00 4.00
20 2 21.80 50.00 4.60
20 3 21.80 66.00 5.10
24 1 25.60 44.00 4.60
24 2 25.60 56.00 5.10
24 3 25.60 72.00 5.60
30 1 32.40 56.00 5.10
30 2 32.40 72.00 5.60
30 3 32.40 90.00 6.40
36 1 38.30 66.00 5.60
36 2 38.30 90.00 6.40
36 3 38.30 110.00 8.50
